Risk:,500,,,Stop,Qty,Profit,156.0437746
5/16/12,VXX,77.88,buy,72.76,97.65625,,
5/22/12,VXX,79.6,sell,,,167.96875,
5/23/12,VXX,85.08,buy,75.12,50.20080321,,
5/24/12,VXX,80.16,sell,,,-246.9879518,
5/30/12,VXX,81.71,buy,76.68,99.40357853,,
6/5/12,VXX,85.62,sell,,,388.667992,
6/11/12,VXX,79.98,buy,73.6,78.36990596,,
6/14/12,VXX,78.02,sell,,,-153.6050157,
12/21/12,VXX,32.75,buy,28.12,107.9913607,,
